,BS,Throughput[Kbit/s],Latency[ms],Packet data size[bits],Packet cycles per bit[cycles/bit],Packet delay[ms]
162,4.0,6984.319400407796,6419.011564302508,44832427.0,916.0,6.0
163,14.0,3450.168164608599,15737.628547204371,54297465.0,648.0,7.0
164,4.0,5170.567233775135,13454.314169938401,69566436.0,928.0,5.0
165,5.0,,,72704910.0,874.0,8.0
166,2.0,4456.880372302131,13303.526917275893,59292228.0,510.0,7.0
167,14.0,5958.445591674895,7346.734198792104,43775116.0,777.0,8.0
168,4.0,6026.185231971303,10669.796483996659,64298170.0,781.0,5.0
169,9.0,3428.8174162347777,18566.7147800211,63661875.0,666.0,5.0
170,6.0,7185.152522725008,6138.314511836284,44104726.0,762.0,5.0
171,6.0,6133.497481622147,8623.763710425621,52893833.0,974.0,9.0
172,12.0,3665.6527292960513,12448.52618888509,45631974.0,513.0,8.0
173,9.0,3262.8506062354954,12990.213195479922,42385125.0,605.0,9.0
174,11.0,7119.593561632216,6931.517870057496,49349590.0,654.0,6.0
175,9.0,3896.5589012581,15173.28301669211,59123591.0,901.0,7.0
176,7.0,8838.932621991034,4724.9253712030795,41763297.0,586.0,5.0
177,11.0,5059.093166465405,7478.5695291778375,37834780.0,867.0,6.0
178,3.0,5795.986962312636,6465.501776257904,37473964.0,654.0,9.0
179,8.0,7925.37422125062,8082.817443274175,64059353.0,503.0,8.0
180,5.0,4269.188876627323,13095.99355186378,55909270.0,623.0,8.0
181,10.0,5563.340142477518,6722.0969853095985,37397312.0,747.0,6.0
182,16.0,6385.587071667165,10076.73018593738,64345838.0,598.0,6.0
183,13.0,6744.0415099541415,7934.568747985638,53511061.0,529.0,6.0
184,17.0,5367.818843287869,10836.04322316744,58165917.0,606.0,6.0
185,12.0,2803.443319692723,14344.653846758629,40214424.0,779.0,9.0
186,13.0,5631.138037844621,9871.047846178504,55585233.0,619.0,8.0
187,3.0,6478.998248342448,8388.773683324398,54350850.0,819.0,7.0
188,14.0,4701.71992174766,12004.602558082624,56442279.0,969.0,9.0
189,7.0,6655.651847862606,10170.774936453288,67693137.0,636.0,6.0
190,16.0,5344.894373021594,7824.748270255674,41822453.0,813.0,7.0
191,16.0,6507.628521461897,6402.859945459775,41667434.0,780.0,8.0
192,14.0,4342.569856551255,13092.507404164759,56855128.0,951.0,6.0
193,12.0,3438.0088038721615,11940.296939834838,41050846.0,775.0,9.0
194,10.0,5155.815774935919,8644.710545452715,44570535.0,539.0,5.0
195,1.0,7788.993918587636,5213.268160743799,40606114.0,604.0,9.0
196,5.0,7258.5929834563485,7860.5041128551275,57056200.0,554.0,7.0
197,2.0,4434.8896281922725,9771.19627161131,43334177.0,783.0,5.0
198,7.0,,,40784353.0,965.0,8.0
199,0.0,6013.507802912809,7937.546530974724,47732498.0,651.0,6.0
COMPLETION
